column,n_missing,action
Date,0,no action (complete)
Day of the week,0,no action (complete)
Year,0,no action (complete)
Month,0,no action (complete)
Max. Demand at eve. peak (Generation end),0,no action (complete)
Max. Demand at eve. peak (Sub-station end),0,no action (complete)
Highest Generation (Generation end),0,no action (complete)
Minimum Generation (Generation end),0,no action (complete)
Day-peak Generation (Generation end),0,no action (complete)
Evening-peak Generation (Generation end),0,no action (complete)
Minimum Generation Forecast up to 8:00 hrs.,0,no action (complete)
Maximum Temperature in Dhaka was,0,no action (complete)
Gas/LF limitation,0,no action (complete)
Coal supply Limitation,0,no action (complete)
Low water level in Kaptai lake,0,no action (complete)
Plants under shut down/ maintenance,0,no action (complete)
Dhaka_demand,0,no action (complete)
Dhaka_supply,0,no action (complete)
Dhaka_load,0,no action (complete)
Chattogram_demand,0,no action (complete)
Chattogram_supply,0,no action (complete)
Chattogram_load,0,no action (complete)
Rajshahi_demand,0,no action (complete)
Rajshahi_supply,0,no action (complete)
Rajshahi_load,0,no action (complete)
Mymensingh_demand,0,no action (complete)
Mymensingh_supply,0,no action (complete)
Mymensingh_load,0,no action (complete)
Sylhet_demand,0,no action (complete)
Sylhet_supply,0,no action (complete)
Sylhet_load,0,no action (complete)
Barishal_demand,0,no action (complete)
Barishal_supply,0,no action (complete)
Barishal_load,0,no action (complete)
Rangpur_demand,0,no action (complete)
Rangpur_supply,0,no action (complete)
Rangpur_load,0,no action (complete)
Cumilla_demand,0,no action (complete)
Cumilla_supply,0,no action (complete)
Cumilla_load,0,no action (complete)
Khulna_demand,0,no action (complete)
Khulna_supply,0,no action (complete)
Khulna_load,0,no action (complete)
Holiday name,0,no action (complete)
Holiday_cat,0,no action (complete)
