feature,split,n_missing,missing_pct,expected,status
demand_lag_1_Dhaka,train,1,0.0772,True,expected_warmup
demand_lag_1_Chattogram,train,1,0.0772,True,expected_warmup
demand_lag_1_Rajshahi,train,1,0.0772,True,expected_warmup
demand_lag_1_Mymensingh,train,1,0.0772,True,expected_warmup
demand_lag_1_Sylhet,train,1,0.0772,True,expected_warmup
demand_lag_1_Barishal,train,1,0.0772,True,expected_warmup
demand_lag_1_Rangpur,train,1,0.0772,True,expected_warmup
demand_lag_1_Cumilla,train,1,0.0772,True,expected_warmup
demand_lag_1_Khulna,train,1,0.0772,True,expected_warmup
demand_lag_7_Dhaka,train,7,0.5405,True,expected_warmup
demand_lag_7_Chattogram,train,7,0.5405,True,expected_warmup
demand_lag_7_Rajshahi,train,7,0.5405,True,expected_warmup
demand_lag_7_Mymensingh,train,7,0.5405,True,expected_warmup
demand_lag_7_Sylhet,train,7,0.5405,True,expected_warmup
demand_lag_7_Barishal,train,7,0.5405,True,expected_warmup
demand_lag_7_Rangpur,train,7,0.5405,True,expected_warmup
demand_lag_7_Cumilla,train,7,0.5405,True,expected_warmup
demand_lag_7_Khulna,train,7,0.5405,True,expected_warmup
load_lag_1_Dhaka,train,1,0.0772,True,expected_warmup
load_lag_1_Chattogram,train,1,0.0772,True,expected_warmup
load_lag_1_Rajshahi,train,1,0.0772,True,expected_warmup
load_lag_1_Mymensingh,train,1,0.0772,True,expected_warmup
load_lag_1_Sylhet,train,1,0.0772,True,expected_warmup
load_lag_1_Barishal,train,1,0.0772,True,expected_warmup
load_lag_1_Rangpur,train,1,0.0772,True,expected_warmup
load_lag_1_Cumilla,train,1,0.0772,True,expected_warmup
load_lag_1_Khulna,train,1,0.0772,True,expected_warmup
demand_rolling_mean_7_Dhaka,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Chattogram,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Rajshahi,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Mymensingh,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Sylhet,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Barishal,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Rangpur,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Cumilla,train,7,0.5405,True,expected_warmup
demand_rolling_mean_7_Khulna,train,7,0.5405,True,expected_warmup
